period,start,end,mids,ND_do,ND_nodo,ND_freq,AQ_do,AQ_nodo,AQ_freq,NQ_do,NQ_nodo,NQ_freq
1400-1425,1400,1425,1412.5,0,177,0,0,10,0,2,15,0.1176470588
1425-1475,1425,1475,1450,11,892,0.0121816168,6,136,0.0422535211,2,23,0.08
1475-1500,1475,1500,1487.5,33,660,0.0476190476,10,132,0.0704225352,3,24,0.1111111111
1500-1525,1500,1525,1512.5,47,558,0.0776859504,41,140,0.226519337,46,32,0.5897435897
1525-1535,1525,1535,1530,89,562,0.1367127496,33,69,0.3235294118,34,22,0.6071428571
1535-1550,1535,1550,1542.5,205,530,0.2789115646,93,114,0.4492753623,63,21,0.75
1550-1575,1550,1575,1562.5,119,194,0.3801916933,72,56,0.5625,41,7,0.8541666667
1575-1600,1575,1600,1587.5,150,479,0.2384737679,228,150,0.6031746032,83,45,0.6484375
1600-1625,1600,1625,1612.5,102,176,0.3669064748,406,181,0.6916524702,89,6,0.9368421053
1625-1650,1625,1650,1637.5,109,235,0.3168604651,116,24,0.8285714286,32,6,0.8421052632
1650-1700,1650,1700,1675,126,148,0.4598540146,164,43,0.7922705314,48,4,0.9230769231
